"TD","PZ","SZZZ","ZXBZ","CYBZ","SZ50"
"20150429","1.62141420888212","1.42495224556459","1.43253221146856","1.60071180282375","1.36601474154042"
"20150430","1.61941736764839","1.4138225416214","1.42911669593934","1.63525254981618","1.35237157735148"
"20150504","1.60489330466788","1.42617582863216","1.43490420127786","1.62802122820318","1.36132292760536"
"20150505","1.58131387978598","1.36832046671864","1.39548468749344","1.59265481282275","1.31006869844081"
"20150506","1.58470920564682","1.34621703065929","1.40277634177885","1.62876850673037","1.30599430508565"
"20150507","1.62754388528251","1.30895822597007","1.39084019207126","1.60558856766847","1.28763103545259"
"20150508","1.56427463176717","1.3387848139463","1.45525938428238","1.70145822306779","1.2941097910256"
"20150511","1.59271396466913","1.37942247770478","1.53120050722286","1.80058077159655","1.31852328307985"
"20150512","1.59909063711063","1.40095136448292","1.56263686200467","1.85978285436365","1.32650273678745"
"20150513","1.60128924975822","1.39284751398415","1.58347350944261","1.82651064986339","1.3069412385357"
"20150514","1.56406590271835","1.39365952241427","1.58046472308305","1.79758421903386","1.30164739793006"
"20150515","1.44173328602142","1.37149879058172","1.56846083945449","1.79972534939276","1.27328890456941"
"20150518","1.30383991873482","1.36347738233438","1.61671555937717","1.87591113908478","1.24748455200395"
"20150519","1.29687532613914","1.4061503192807","1.66017826721325","1.90125395167866","1.29645257760611"
"20150520","1.44424151342476","1.41529727116148","1.69127237030786","1.94903743544995","1.29926675065362"
"20150521","1.46297842437399","1.44175964232159","1.76764529699452","2.01834608837455","1.31093741418936"
"20150522","1.4963507204631","1.48255868917457","1.77951354995922","2.01217446035447","1.35169133297941"
"20150525","1.59339929171276","1.53227932453376","1.8139901157322","1.98430257341897","1.39374998959871"
"20150526","1.59378891927056","1.56318689276428","1.88294243316852","2.07031112764101","1.40899744877157"
"20150527","1.63188892831549","1.57299624744517","1.88558959203176","2.07628592272591","1.39158360889818"
"20150528","1.62224564625992","1.47067618243356","1.76687107873922","1.96431373109989","1.30000357804379"
"20150529","1.64517105345551","1.46796354588261","1.78649958749065","2.02717553320841","1.29447550038526"
"20150601","1.64257237679768","1.53703487370898","1.87247477440615","2.12782868668374","1.34980412290497"
"20150602","1.65628239648779","1.56306911811937","1.93696739930563","2.23241907105154","1.35562510089251"
"20150603","1.66620746275926","1.56289436601113","1.91941959193895","2.2785992819031","1.3473531629075"
"20150604","1.61991483854808","1.57471130092281","1.90156714474983","2.25640751283849","1.37256672219569"
"20150605","1.62108372122148","1.59890093974617","1.90798053756961","2.22342941336347","1.37462950604689"
"20150608","1.5188482331086","1.63352827689647","1.87746217280324","2.11970360621969","1.43900059412169"
"20150609","1.65412900846744","1.62768824605861","1.87308030914673","2.12026606777576","1.4203985108681"
"20150610","1.67218059237304","1.62530152696419","1.91253938865903","2.19417168523896","1.40225337709087"
"20150611","1.73053079797115","1.63025334599358","1.94323294981714","2.20987197276381","1.39257302121697"
"20150612","1.73104566295825","1.64450009915352","1.95329648456066","2.23136738810133","1.39387613644496"
"20150615","1.67183966825997","1.61160051604393","1.90544426043758","2.11482512480867","1.35735974484387"
"20150616","1.64454138749156","1.55571775210856","1.82860647715389","2.05454046089805","1.32289948026834"
"20150617","1.64595726620607","1.58133096807893","1.85378965589051","2.14076244152946","1.3362356399789"
"20150618","1.63791771900895","1.5232259557492","1.77438058876083","2.00526642539374","1.27664927016228"
"20150619","1.63156887710729","1.42550747343784","1.6727575635262","1.89679202368861","1.20782164533431"
"20150623","1.78008307416143","1.45674255067413","1.7035971759514","1.94197433733389","1.24947074075492"
"20150624","1.81068623153618","1.49292085257384","1.72356940178736","1.93594575650507","1.26697881631655"
"20150625","1.64979092306943","1.44123662740527","1.65436861809287","1.83465518474545","1.22485167760328"
"20150626","1.67274068198738","1.33463290757269","1.51522344297056","1.67119344271675","1.13860634362201"
"20150629","2.09039011459225","1.29011950306739","1.41505555728328","1.53905045274436","1.11433942654775"
"20150630","2.05967215624065","1.36148186604694","1.5032496813982","1.63566223697198","1.19407862876048"
"20150701","1.94503816262776","1.29033254785072","1.44578005460722","1.57890225585421","1.13866970828126"
"20150702","2.00188204025688","1.24547221743873","1.37434063226033","1.51590885032972","1.12926677561671"
"20150703","1.91857827687213","1.17358146010639","1.31365787759341","1.49070965711588","1.07435570248649"
"20150706","2.09000048703445","1.20191005009242","1.30716405074248","1.42694036362596","1.14414116131652"
"20150707","1.90766174761875","1.18638054006359","1.22624187946","1.34579369734075","1.17012254383936"
"20150708","1.79864256541916","1.11637385873982","1.20929341960073","1.35268227788347","1.08546885687326"
"20150709","1.92521586062466","1.18071640724944","1.25001843958305","1.39371164547184","1.1570714210825"
"20150710","1.87935113096356","1.2343430227913","1.30281491429298","1.45100719527372","1.20588817032154"
"20150713","1.84246522921928","1.26381354936811","1.36620507193554","1.53522479866108","1.19367331128815"
"20150714","1.71542577247142","1.24920290438641","1.39306466521614","1.55981403865135","1.14958086961442"
"20150715","1.56741948276942","1.21139285069708","1.32166432013135","1.48198663939234","1.1474498533002"
"20150716","1.44817605599505","1.21695442407721","1.34769303312661","1.50318337219449","1.14116580987773"
"20150717","1.36810759286703","1.25966399848739","1.42341320671432","1.59258672235971","1.1678838533701"
"20150720","1.34717554808769","1.27072781229141","1.44750694394806","1.62976697612542","1.15818839482299"
"20150721","1.34944373708489","1.27886546729637","1.46535173850669","1.64956127426438","1.15361694461687"
"20150722","1.22654407313866","1.28152978441192","1.47501163769712","1.65784427882759","1.13989219270845"
"20150723","1.14745315772263","1.31268544334037","1.50779485544588","1.69822878967771","1.16110179617798"
"20150724","1.15108852198961","1.29581011926115","1.47764902724483","1.65810233596063","1.14041566883624"
"20150727","1.05786664996834","1.18588187585088","1.36291802290546","1.53543765288169","1.03733742783585"
"20150728","1.37475909188948","1.16596974846837","1.34338069443226","1.47736964824696","1.03416873721681"
"20150729","1.45382565558315","1.20612950181644","1.40209558330873","1.54139928762499","1.05321171035486"
"20150730","1.30203093364504","1.1795816962923","1.35248748754209","1.46548471540761","1.02655203890249"
"20150731","1.39757665574318","1.16619995015268","1.35730310880787","1.45327020183959","1.02400289072654"
"20150803","1.40701120874992","1.15320638287646","1.34059041509659","1.37283705494443","1.03169327177989"
"20150804","1.39237930242752","1.1957452477135","1.40178638447239","1.45688529045732","1.0545706181029"
"20150805","1.40058931168117","1.176019076946","1.37954507228398","1.43163974995351","1.03474596721181"
"20150806","1.44394233512145","1.16550399749426","1.36587975372858","1.41955798417898","1.02661756703007"
"20150807","1.41907226895434","1.19181717682717","1.40113688781195","1.47452644227331","1.04170838277413"
"20150810","1.41761116561258","1.25045332097442","1.45809867301759","1.54875362982248","1.08908130813281"
"20150811","1.39785148232413","1.25029190604894","1.45314611851254","1.54428712432231","1.0778690918592"
"20150812","1.3856512694205","1.23705387680708","1.43413340228299","1.50038651351081","1.06556078763561"
"20150813","1.37800482859866","1.25877416329868","1.46740052679406","1.53590227015893","1.07373678412081"
"20150814","1.37937200386845","1.26220516152156","1.47245598475596","1.53004534595963","1.07218083433324"
"20150817","1.39366994371273","1.27122377087038","1.48222008997865","1.52561946586179","1.06112580235552"
